rid,step,response_length_mean,clip_ratio,reward_mean,val_reward,time_per_step
go4zdpgb,3,,,,0.0070128885519332,
go4zdpgb,100,807.435546875,0.384765625,0.94140625,0.8390826383623957,764.428335685001
go4zdpgb,199,903.552734375,0.60546875,0.935546875,,122.82602717999907
go4zdpgb,200,925.21875,0.671875,0.91015625,0.8635329795299469,853.1408390899996
go4zdpgb,201,922.33984375,0.66796875,0.873046875,,128.04797221099943
go4zdpgb,243,773.37890625,0.265625,0.875,,95.55197128599684
a72jwsb8,200,,,,0.8635329795299469,
a72jwsb8,201,934.7578125,0.708984375,0.919921875,,110.62520918000008
a72jwsb8,243,885.818359375,0.5546875,0.97265625,,99.3442944870003
a72jwsb8,300,853.169921875,0.50390625,0.927734375,0.8711144806671721,618.8516705080001
a72jwsb8,301,859.396484375,0.568359375,0.91796875,,97.25615132500025
a72jwsb8,324,817.185546875,0.318359375,0.857421875,,86.99854662899997
fgw6prw4,300,,,,0.8711144806671721,
fgw6prw4,301,869.037109375,0.5625,0.8828125,,90.81757166
fgw6prw4,324,847.51953125,0.400390625,0.9375,,78.51996136199978
fgw6prw4,400,703.09375,0.0625,0.923828125,0.8750947687642153,512.2687478709995
