_runtime,response_length/min,perf/max_memory_allocated_gb,critic/returns/max,timing_s/save_checkpoint,global_seqlen/max,val/generations,prompt_length/clip_ratio,prompt_length/min,critic/rewards/min,timing_per_token_ms/gen,difficulty/verification/unknown,difficulty/0_verification/unknown,difficulty/reward/unknown,difficulty/length/unknown,perf/mfu/actor,timing_per_token_ms/adv,critic/advantages/max,actor/lr,global_seqlen/balanced_min,critic/score/under_16k,critic/score/mean,val/openai/gsm8k/reward/unknown,val/openai/gsm8k/length/unknown,global_seqlen/min,perf/throughput,val/openai/gsm8k/test_score/unknown,actor/ppo_kl,steps/compute_matched_steps,val/openai/gsm8k/reward/mean,val/openai/gsm8k/1_length/mean,perf/total_num_tokens,steps/steps,val/openai/gsm8k/1_length/unknown,prompt_length/max,critic/score/min,actor/kl_loss,global_seqlen/balanced_max,_step,difficulty/zero_advantage_ratio/unknown,perf/max_memory_reserved_gb,timing_s/adv,critic/returns/min,critic/rewards/max,val/openai/gsm8k/test_score/,critic/score/under_4k,actor/pg_clipfrac,val/openai/gsm8k/length/mean,perf/time_per_step,global_seqlen/minmax_diff,timing_s/ref,response_length/clip_ratio,val/openai/gsm8k/0_length/unknown,difficulty/1_verification/unknown,timing_s/old_log_prob,timing_s/update_actor,actor/kl_coef,critic/score/max,perf/cpu_memory_used_gb,critic/returns/mean,timing_per_token_ms/update_actor,actor/pg_loss,response_length/max,timing_per_token_ms/ref,critic/rewards/mean,global_seqlen/mean,critic/score/under_8k,response_length/mean,_timestamp,critic/advantages/mean,val/openai/gsm8k/0_length/mean,actor/entropy,critic/score/under_2k,difficulty/1_length/unknown,difficulty/0_length/unknown,timing_s/gen,actor/grad_norm,prompt_length/mean,timing_s/testing,timing_s/step,actor/pg_clipfrac_lower,critic/advantages/min
507.457230214,,,,,,"{'path': 'media/table/val/generations_0_78c6d7d5080e2f2b03cf.table.json', '_type': 'table-file', 'sha256': '78c6d7d5080e2f2b03cfc799de8d0ab94f2cadcb658198e4c8613183517e0ca8', '_latest_artifact_path': 'wandb-client-artifact://0kzv23tag7afp5xudipbcv2soj0vojfw6236f2nr6azh27nql1old5tbi2rymswins4fawmzpzd82w2p9xdd9vsr32554swxavur8ln43wgtmvlfoda06kivaxfejd16:latest/val/generations.table.json', 'nrows': 1, 'size': 10617, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://zm0l5cg4vibcrsbuedyxhw8v7po1xf0dbs0wt57yg0v35ocxnlvad7z7brw51ffnavkc5kzn919uoujuj9kmhxwihgdf04dnez0nri8dpfwyg9v39mcs0fxwzv1ms9v2/val/generations.table.json', 'ncols': 10}",,,,,,,,,,,,,,,,0.003601213040181956,901.9351781652767,,,0.003601213040181956,,,0.003601213040181956,651.8947368421053,,,651.8947368421053,,,,,0,,,,,,0.003601213040181956,,,901.9351781652767,,,,,902.8388814913449,,,,,,,,,,,,,,,,1780509913.387356,,902.8388814913449,,,,,,,,,,,
578.223461155,304.0,130.57374382019043,2.4748666286468506,,496061.0,,0.0,49.0,0.0,0.07625425531278457,3.673828125,3.6784313725490194,0.00390625,881.478515625,0.0,0.00029328572292506135,2.4748666286468506,1e-06,496061.0,0.00390625,0.00390625,,,496061.0,6367.184997401233,,-1.9037752743374327e-05,0.0,,,496061.0,1.0,,203.0,0.0,0.002055541379377246,496061.0,1,0.96875,143.275390625,0.14548760899992885,-0.35355237126350403,1.0,,0.00390625,0.0,,77.90899749300002,0.0,10.589526396999986,0.546875,,2.5,8.674539184000082,24.041217486999926,0.001,1.0,35.908851623535156,-0.0004245913296472281,0.048464236226996124,0.0003828109512406011,1024.0,0.021347226242337106,0.00390625,496061.0,0.00390625,881.478515625,1780509992.702673,-0.0004245913296472281,,0.10596299531959719,0.00390625,833.0,881.6686274509804,34.41484174499999,0.14458762109279633,87.390625,,77.90899749300002,0.0,-0.35355237126350403
648.791605076,333.0,130.57374382019043,2.4748666286468506,,497759.0,,0.0,44.0,0.0,0.08047819982941277,3.59765625,3.599214145383104,0.005859375,886.185546875,0.0,0.0002811389789036105,2.4748666286468506,1e-06,497759.0,0.005859375,0.005859375,,,497759.0,7048.569503202586,,0.00015661433005129032,451317.0,,,497759.0,2.0,,149.0,0.0,0.0024465317837893963,497759.0,2,0.953125,143.275390625,0.13993945700008226,-0.35355237126350403,1.0,,0.005859375,0.000434389510642617,,70.61844247600004,0.0,6.278866301999983,0.529296875,,3.3333333333333335,5.97886594199997,21.685420486999988,0.001,1.0,36.021846771240234,-0.0014189558569341898,0.0435661042532631,0.0014708056264827328,1024.0,0.012614269761069078,0.005859375,497759.0,0.005859375,886.185546875,1780510063.4695227,-0.0014189558569341898,,0.10892548556289365,0.005859375,797.3333333333334,886.7092337917485,36.51513217399997,0.20787426829338074,86.0,,70.61844247600004,0.0,-0.35355237126350403
718.975856085,346.0,130.57374382019043,2.4748666286468506,,502561.0,,0.0,48.0,0.0,0.07728778302715596,3.634765625,3.63600782778865,0.001953125,895.939453125,0.0,0.00027863105175290654,2.4748666286468506,1e-06,502561.0,0.001953125,0.001953125,,,502561.0,7136.65383289994,,7.759764486998452e-05,905044.0,,,502561.0,3.0,,160.0,0.0,0.0020589507184922695,502561.0,3,0.984375,156.4296875,0.14002909999999247,-0.35355237126350403,1.0,,0.001953125,5.629875217451744e-05,,70.419696929,0.0,6.292462047999948,0.580078125,,3.0,6.330905997999935,22.182937876999972,0.001,1.0,36.0510368347168,0.0008115844684652984,0.04413979174070406,-0.0008105462597262474,1024.0,0.012520792596321537,0.001953125,502561.0,0.001953125,895.939453125,1780510134.0377078,0.0008115844684652984,,0.10377015173435211,0.001953125,738.0,896.2485322896282,35.453529118000006,0.09764303267002106,85.625,,70.419696929,0.0,-0.35355237126350403
789.933723883,314.0,130.57374382019043,2.4748666286468506,,495298.0,,0.0,49.0,0.0,0.07891907357625423,3.4921875,3.491089108910891,0.013671875,881.73828125,0.0,0.0002837408146206877,2.4748666286468506,1e-06,495298.0,0.013671875,0.013671875,,,495298.0,7071.800270620989,,0.00010515568919799989,1363765.0,,,495298.0,4.0,,173.0,0.0,0.0020057763904333115,495298.0,4,0.90625,156.4296875,0.14053625799999736,-0.5400605201721191,1.0,,0.013671875,0.00035516946718416875,,70.03845994599999,0.0,6.246167948999982,0.5234375,,3.5714285714285716,5.966280254000026,22.03701226399994,0.001,1.0,36.04876708984375,0.0015909288777038455,0.04449243135243821,-0.0015788833261467516,1024.0,0.012610929075021466,0.013671875,495298.0,0.013671875,881.73828125,1780510204.221874,0.0015909288777038455,,0.10607030196115375,0.013671875,795.1428571428571,882.9386138613861,35.628015765999976,0.24612654745578766,85.640625,,70.03845994599999,0.0,-0.5400605201721191
859.559372956,362.0,130.57374382019043,2.4748666286468506,,502057.0,,0.0,47.0,0.0,0.079184922856875,3.529296875,3.551792828685259,0.01953125,895.783203125,0.0,0.0002795360447122036,2.4748666286468506,1e-06,502057.0,0.01953125,0.01953125,,,502057.0,7090.311100566172,,1.4013269691304231e-05,1815215.0,,,502057.0,5.0,,148.0,0.0,0.002152559347450733,502057.0,5,0.859375,156.4296875,0.1403430280000748,-0.5400605201721191,1.0,,0.01953125,0.0003135310107609257,,70.80888170900005,0.0,6.298830206000048,0.5078125,,2.4,6.008130734000019,22.02438288099995,0.001,1.0,36.01634216308594,-0.0002385893603786826,0.043868291610315066,0.00030971510568633676,1024.0,0.012546045978843135,0.01953125,502057.0,0.01953125,895.783203125,1780510275.1796403,-0.0002385893603786826,,0.11126118176616728,0.01953125,801.6,897.6593625498008,36.317452204000006,0.24204212427139282,84.796875,,70.80888170900005,0.0,-0.5400605201721191
930.597923794,208.0,130.57374382019043,2.4748666286468506,,493026.0,,0.0,54.0,0.0,0.07836512625690595,3.421875,3.452191235059761,0.01953125,876.01953125,0.0,0.00028180044662946536,2.4748666286468506,1e-06,493026.0,0.01953125,0.01953125,,,493026.0,7095.844313475642,,0.00016988516049565305,2273856.0,,,493026.0,6.0,,141.0,0.0,0.0021817658562213182,493026.0,6,0.84375,156.4296875,0.1389349469999388,-0.35355237126350403,1.0,,0.01953125,0.0005325639594957465,,69.48094944299999,0.0,6.516243405999944,0.533203125,,1.9,5.909030111999982,21.749233561000096,0.001,1.0,36.023555755615234,0.003207435365766287,0.0441137659291804,-0.00319448605296202,1024.0,0.013216835229784929,0.01953125,493026.0,0.01953125,876.01953125,1780510344.8055494,0.003207435365766287,,0.10553425503894687,0.01953125,833.6,876.8645418326694,35.148483158999966,0.2629452347755432,86.921875,,69.48094944299999,2.2219851416593883e-06,-0.35355237126350403
999.305368242,334.0,130.57374382019043,2.4748666286468506,,499356.0,,0.0,52.0,0.0,0.07919194704874036,3.638671875,3.680080482897384,0.029296875,891.0390625,0.0,0.0002826975143985157,2.4748666286468506,1e-06,499356.0,0.029296875,0.029296875,,,499356.0,7043.86273312049,,8.499926457261608e-05,2722378.0,,,499356.0,7.0,,136.0,0.0,0.002148534869775176,499356.0,7,0.828125,156.4296875,0.1411666999999852,-0.7245674133300781,1.0,,0.029296875,0.0004802240209755837,,70.892352523,0.0,6.273920907999923,0.56640625,,2.2666666666666666,6.077152682000019,22.251651954000067,0.001,1.0,36.024749755859375,-0.0037414231337606907,0.04456069808713636,0.003715881475727656,1024.0,0.012564024279271547,0.029296875,499356.0,0.029296875,891.0390625,1780510415.8441472,-0.0037414231337606907,,0.10919260862283409,0.029296875,801.6666666666666,893.7364185110664,36.12831654699994,0.2237740308046341,84.265625,,70.892352523,2.177396936531295e-06,-0.7245674133300781
1071.988935705,319.0,130.57374382019043,2.4748666286468506,,477877.0,,0.0,51.0,0.0,0.08192231215498166,3.630859375,3.6948453608247425,0.052734375,849.494140625,0.0,0.0002870981507793934,2.4748666286468506,1e-06,477877.0,0.052734375,0.052734375,,,477877.0,6969.858678598656,,6.004455038540376e-05,3178590.0,,,477877.0,8.0,,140.0,0.0,0.0031496803276240826,477877.0,8,0.6875,156.4296875,0.13719760300000416,-0.7245674133300781,1.0,,0.052734375,0.0011677692062221467,,68.56337008200012,0.0,6.032625850999921,0.505859375,,2.4814814814814814,5.739259547000074,21.004208903000062,0.001,1.0,36.025115966796875,-0.002134542679414153,0.04395316975497893,0.0021222615459312996,1024.0,0.012623804558495011,0.052734375,477877.0,0.052734375,849.494140625,1780510484.5509813,-0.002134542679414153,,0.10780992234746616,0.052734375,819.4814814814815,851.1649484536083,35.631372370999884,0.3560926020145416,83.859375,,68.56337008200012,2.2703536766736457e-06,-0.7245674133300781
1145.264671713,278.0,130.57374382019043,2.4748666286468506,,501960.0,,0.0,56.0,0.0,0.08301649598941056,3.75,3.8224101479915435,0.076171875,892.65625,0.0,0.0002814012610567962,2.4748666286468506,1e-06,501960.0,0.076171875,0.076171875,,,501960.0,6922.826615740255,,0.00018971327235997324,3613531.0,,,501960.0,9.0,,145.0,0.0,0.0033352321479469538,501960.0,9,0.59375,156.470703125,0.14125217700006942,-0.7245674133300781,1.0,,0.076171875,0.0013159240998286423,,72.50795489500001,0.0,6.331922937000172,0.6015625,,2.871794871794872,6.010383600000068,22.061286412000072,0.001,1.0,36.05731964111328,0.004305435344576836,0.043950287696230925,-0.004251777524909665,1024.0,0.012614397436051025,0.076171875,501960.0,0.076171875,892.65625,1780510557.2348096,0.004305435344576836,,0.11123794677757448,0.076171875,895.0769230769231,892.4566596194503,37.9418593270002,0.378518283367157,87.734375,,72.50795489500001,2.159174220005591e-06,-0.7245674133300781
