track,question_idx,mean_similarity,std_similarity,n_pairs
A,13,0.7696205973625183,0.18775150179862976,496
A,51,0.7519130110740662,0.1409364640712738,496
A,54,0.8681804537773132,0.13823562860488892,496
A,61,0.8966224193572998,0.0874427780508995,496
A,65,0.8603706955909729,0.10057181864976883,496
A,88,0.9532036185264587,0.06889514625072479,496
A,93,0.8916430473327637,0.16039292514324188,496
A,114,0.9403151273727417,0.12929700314998627,496
A,135,0.8719267249107361,0.10763658583164215,496
A,142,0.9388592839241028,0.09553707391023636,496
A,146,0.9351699352264404,0.07843578606843948,496
A,161,0.9478180408477783,0.08129914104938507,496
A,163,0.7885688543319702,0.1810082346200943,496
A,178,1.0,0.0,496
A,189,0.982040524482727,0.039137814193964005,496
A,191,0.9827846884727478,0.04633187875151634,496
A,198,0.9199025630950928,0.12376372516155243,496
A,206,0.9684351086616516,0.05718948319554329,496
A,209,0.831536591053009,0.14663606882095337,496
A,228,0.9619153141975403,0.07429323345422745,496
A,255,0.9514527916908264,0.11946238577365875,496
A,285,0.8328624367713928,0.13744354248046875,496
A,292,0.9165306091308594,0.11083400249481201,496
A,318,0.8866402506828308,0.1386203020811081,496
A,326,0.9718580842018127,0.10192698985338211,496
A,333,0.9170865416526794,0.0941530391573906,496
A,334,0.9012437462806702,0.12916497886180878,496
A,350,0.7999123334884644,0.16562394797801971,496
A,393,0.9710307121276855,0.029086312279105186,496
A,407,0.8325498700141907,0.1800219863653183,496
A,429,0.9353646636009216,0.11861604452133179,496
A,432,0.9984036087989807,0.006182782351970673,496
A,435,0.8660111427307129,0.13184486329555511,496
A,440,0.8603621125221252,0.1387854516506195,496
A,447,0.8170170783996582,0.15341028571128845,496
A,449,0.9612943530082703,0.10405009239912033,496
A,451,0.9820659756660461,0.027008675038814545,496
A,457,0.9814730286598206,0.07175478339195251,496
A,466,0.8603438138961792,0.10982067883014679,496
A,469,0.9730438590049744,0.10440105944871902,496
A,476,0.8730590343475342,0.1348477154970169,496
A,501,0.9605686068534851,0.10106197744607925,496
A,505,0.8957783579826355,0.15794581174850464,496
A,538,0.9032022953033447,0.12939226627349854,496
A,541,0.897696852684021,0.06995046883821487,496
A,542,0.9829221367835999,0.04599408060312271,496
A,546,0.8363498449325562,0.1014898419380188,496
A,548,0.8485921025276184,0.11429280042648315,496
A,552,0.8882686495780945,0.06325298547744751,496
A,563,0.8814064264297485,0.16109687089920044,496
A,569,0.9787799119949341,0.08218491077423096,496
A,592,0.8306224942207336,0.09318199753761292,496
A,600,0.840705931186676,0.12854059040546417,496
A,644,0.90599524974823,0.13440895080566406,496
A,646,0.9481415152549744,0.11180462688207626,496
A,664,1.0,0.0,496
A,689,0.8728868365287781,0.10877668857574463,496
A,696,0.9672989845275879,0.059345733374357224,496
A,704,0.8719959855079651,0.12576892971992493,496
A,727,0.9647446274757385,0.07261341065168381,496
A,735,0.957094669342041,0.09040974080562592,496
A,740,0.852878212928772,0.12384257465600967,496
A,747,0.8872090578079224,0.10201925784349442,496
A,758,0.9889779686927795,0.04268811643123627,496
A,775,0.9052117466926575,0.15432000160217285,496
A,777,0.8216229677200317,0.10943727940320969,496
A,778,0.9835452437400818,0.035677313804626465,496
A,810,0.9531539678573608,0.10627507418394089,496
A,821,0.808623194694519,0.17706933617591858,496
A,859,0.8221701383590698,0.14398734271526337,496
A,864,0.9006511569023132,0.12979425489902496,496
A,865,1.0,0.0,496
A,919,0.9030168652534485,0.1061634048819542,496
A,928,0.8790221810340881,0.15017069876194,496
A,939,0.9573485851287842,0.09610816836357117,496
A,940,0.998211145401001,0.006927843205630779,496
A,946,0.9000039100646973,0.1326860785484314,496
A,1022,0.982216477394104,0.06519271433353424,496
A,1034,0.911030650138855,0.1014816015958786,496
A,1093,0.9549811482429504,0.1045815646648407,496
A,1098,0.9703958630561829,0.07715778052806854,496
A,1103,1.0000001192092896,0.0,496
A,1116,1.0000001192092896,0.0,496
A,1130,0.9985721707344055,0.005529771558940411,496
A,1140,0.7887568473815918,0.18195822834968567,496
A,1149,0.9687151312828064,0.03696558251976967,496
A,1161,0.7900067567825317,0.1510980874300003,496
A,1182,0.9809719920158386,0.0456966757774353,496
A,1206,0.8152413964271545,0.10723317414522171,496
A,1209,0.955310583114624,0.09946757555007935,496
A,1232,0.8533845543861389,0.14720773696899414,496
A,1236,0.9703798890113831,0.11471806466579437,496
A,1247,0.8844650387763977,0.10984261333942413,496
A,1266,0.9617145657539368,0.10271816700696945,496
A,1287,0.8633292317390442,0.13044175505638123,496
A,1300,0.909660279750824,0.0849180519580841,496
A,1301,0.7800303101539612,0.18321461975574493,496
A,1309,0.8919223546981812,0.10672500729560852,496
A,1310,0.8872605562210083,0.17718476057052612,496
A,1316,0.9208998084068298,0.07512306421995163,496
B,13,0.7855621576309204,0.20150063931941986,496
B,51,0.817628800868988,0.13443322479724884,496
B,54,0.8514752984046936,0.15427055954933167,496
B,61,0.9377928376197815,0.061168212443590164,496
B,65,0.866805911064148,0.1093243956565857,496
B,88,0.9999999403953552,5.960464477539063e-08,496
B,93,0.7723345756530762,0.17580990493297577,496
B,114,0.9773681163787842,0.08765289932489395,496
B,135,0.9491025805473328,0.07921608537435532,496
