actor/kl_coef,timing_s/gen,prompt_length/clip_ratio,critic/rewards/min,difficulty/1_verification/unknown,timing_per_token_ms/ref,val/HuggingFaceH4/MATH-500/reward/mean,response_length/max,val/HuggingFaceH4/MATH-500/test_score/unknown,difficulty/0_verification/unknown,response_length/min,val/generations,critic/advantages/max,difficulty/reward/unknown,val/HuggingFaceH4/MATH-500/length/unknown,critic/score/min,difficulty/verification/unknown,critic/score/under_2k,timing_s/save_checkpoint,actor/lr,actor/grad_norm,critic/score/max,_timestamp,global_seqlen/balanced_max,steps/compute_matched_steps,val/HuggingFaceH4/MATH-500/length/mean,actor/pg_clipfrac,perf/total_num_tokens,prompt_length/max,perf/cpu_memory_used_gb,val/HuggingFaceH4/MATH-500/0_length/mean,perf/time_per_step,critic/score/under_8k,timing_s/ref,critic/advantages/mean,timing_s/update_actor,perf/max_memory_allocated_gb,difficulty/length/unknown,actor/entropy,critic/returns/min,response_length/mean,response_length/clip_ratio,actor/kl_loss,timing_per_token_ms/update_actor,timing_s/step,timing_s/testing,val/HuggingFaceH4/MATH-500/reward/unknown,val/HuggingFaceH4/MATH-500/1_length/unknown,_runtime,difficulty/1_length/unknown,timing_s/adv,critic/returns/max,critic/rewards/max,critic/score/mean,val/HuggingFaceH4/MATH-500/test_score/,timing_s/old_log_prob,perf/mfu/actor,global_seqlen/min,difficulty/0_length/unknown,perf/throughput,prompt_length/min,_step,actor/ppo_kl,global_seqlen/mean,timing_per_token_ms/gen,difficulty/zero_advantage_ratio/unknown,critic/advantages/min,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/max,critic/score/under_4k,actor/pg_clipfrac_lower,perf/max_memory_reserved_gb,val/HuggingFaceH4/MATH-500/0_length/unknown,critic/rewards/mean,prompt_length/mean,steps/steps,timing_per_token_ms/adv,critic/score/under_16k,actor/pg_loss,critic/returns/mean,val/HuggingFaceH4/MATH-500/1_length/mean
,,,,,,0.3641851106639839,,0.3641851106639839,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://bypjcj12wrb391q7ojeoxbvn7p86r7bwel0hhhwk0nawlhbvendjr6zbo4e49dfi0khic2zqx64auuah0wopgkptnhndjda1e6xge297xx2yytg2qjmz5oyqte308x5p/val/generations.table.json', 'size': 19777, '_type': 'table-file', 'sha256': '96eea499cc11a959d884a3a38dc35842a8205fe9daf8421b1069f520f7b427ef', 'ncols': 10, 'path': 'media/table/val/generations_0_96eea499cc11a959d884.table.json', '_latest_artifact_path': 'wandb-client-artifact://kl97gogmy7ahffyimm939hb7kbdnzt89jurc69z01upfx2xx4tmwswo2wgtbh7ax2b6n4y0a09mccrbzwddohiq9azmorj167nkrjeaf72vw3czz89akeqsn0q6cqbov:latest/val/generations.table.json', 'nrows': 1}",,,1931.7560362173037,,,,,,,,1779908742.5834382,,,1931.7560362173037,,,,,2044.200158227848,,,,,,,,,,,,,,,,0.3641851106639839,1735.4447513812154,654.287741578,,,,,,0.3641851106639839,,,,,,,0,,,,,,,,,,,,2044.200158227848,,,,,,,,1735.4447513812154
0.001,121.794544277,0.0,0.0,5.483091787439614,0.01736324768331147,,2048.0,,9.036065573770491,752.0,,2.4748666286468506,0.404296875,,0.0,7.599609375,0.404296875,,1e-06,0.30104729533195496,1.0,1779908950.2600405,1014271.0,0.0,,0.0,1014271.0,459.0,35.8013916015625,,205.65537882600006,0.404296875,17.61103859100001,-0.008184514939785004,50.31288240599997,107.1453104019165,1879.138671875,0.12548824469558895,-2.4748666286468506,1879.138671875,0.712890625,0.0021741720847785473,0.04960496988083064,205.65537882600006,,,,872.511905827,1631.2946859903382,0.2598767939999789,2.4748666286468506,1.0,0.404296875,,15.622274822999998,0.0,1014271.0,2047.3475409836065,4931.896290726972,38.0,1,0.0,1014271.0,0.1265898961323911,0.625,-2.4748666286468506,0.0,1014271.0,1014271.0,0.404296875,0.0,115.7734375,,0.404296875,101.859375,1.0,0.00025622027446311574,0.404296875,0.008224010573030682,-0.008184514939785004,
0.001,142.069182857,0.0,0.0,5.3090909090909095,0.013040857580756116,,2048.0,,8.648414985590778,824.0,,2.4748666286468506,0.322265625,,0.0,7.572265625,0.322265625,,1e-06,0.31995710730552673,1.0,1779909168.4848638,1039705.0,962119.0,,0.0016304642124327295,1039705.0,437.0,35.941368103027344,,217.94283853800005,0.322265625,13.558644831000038,-0.00641861604526639,49.20005146899996,108.01189851760864,1936.314453125,0.12068183652379295,-2.4748666286468506,1936.314453125,0.78515625,0.0019648540765047073,0.04732116462746641,217.94283853800005,,,,1072.320245064,1739.121212121212,0.2622449889998961,2.4748666286468506,1.0,0.322265625,,12.827897129999997,0.0,1039705.0,2030.0806916426513,4770.539867125385,35.0,2,3.979735251822135e-05,1039705.0,0.1433025882339294,0.65625,-2.4748666286468506,0.0,1039705.0,1039705.0,0.322265625,1.967540756044345e-06,115.7734375,,0.322265625,94.359375,2.0,0.00025223018933245113,0.322265625,0.0063568277771330695,-0.00641861604526639,
0.001,125.47450331499988,0.0,0.0,5.793103448275862,0.01299143329831173,,2048.0,,9.148867313915858,793.0,,2.4748666286468506,0.396484375,,0.0,7.818359375,0.396484375,,1e-06,0.24173572659492493,1.0,1779909368.293117,1015559.0,1953512.0,,0.0009283261570089962,1015559.0,347.0,35.95790100097656,,199.52826813499996,0.396484375,13.193567009000162,-0.005751567427068949,48.072187217999954,108.4621229171753,1889.935546875,0.12326619238592684,-2.4748666286468506,1889.935546875,0.728515625,0.001886605634354055,0.04733569119864031,199.52826813499996,,,,1283.868157785,1671.7536945812808,0.25789420399996743,2.4748666286468506,1.0,0.396484375,,12.505140363999999,0.0,1015559.0,2033.2718446601941,5089.800104478816,32.0,3,2.7711249231288093e-05,1015559.0,0.12966970735712494,0.5625,-2.4748666286468506,0.0,1015559.0,1015559.0,0.396484375,2.0254070705050253e-06,115.83984375,,0.396484375,93.578125,3.0,0.00025394310325640106,0.396484375,0.005900607415242121,-0.005751567427068949,
0.001,135.93723182899998,0.0,0.0,5.144385026737968,0.013009003440060117,,2048.0,,9.27076923076923,674.0,,2.4748666286468506,0.365234375,,0.0,7.763671875,0.365234375,,1e-06,0.2306050956249237,1.0,1779909579.840647,1027017.0,2921159.0,,0.0006214579407242127,1027017.0,500.0,35.94717025756836,,211.25426738800002,0.365234375,13.36046768600022,-0.006325452122837305,48.63757569299992,108.78066635131836,1896.892578125,0.12751853046938777,-2.4748666286468506,1896.892578125,0.716796875,0.002105763414874673,0.04735810185517856,211.25426738800002,,,,1504.230958258,1652.9304812834225,0.2612326620001113,2.4748666286468506,1.0,0.365234375,,13.025332324999908,0.0,1027017.0,2037.2646153846154,4861.520729016706,43.0,4,6.779471277695848e-06,1027017.0,0.1399670223700563,0.765625,-2.4748666286468506,0.0,1027017.0,1027017.0,0.365234375,0.0,115.908203125,,0.365234375,109.0,4.0,0.00025436060162598213,0.365234375,0.006241453782422468,-0.006325452122837305,
0.001,143.72022527399986,0.0,0.0,5.144,0.01334914477758068,,2048.0,,9.064599483204134,798.0,,2.4748666286468506,0.244140625,,0.0,8.107421875,0.244140625,,1e-06,0.14026442170143127,1.0,1779909800.2040293,1043884.0,3892368.0,,0.0004928109625656031,1043884.0,366.0,35.947330474853516,,220.0727162400001,0.244140625,13.93495864700003,-0.0035649961791932583,49.21775582800001,108.78066635131836,1927.2890625,0.12711366266012192,-1.6201815605163574,1927.2890625,0.802734375,0.002050842624157667,0.047148683022251524,220.0727162400001,,,,1719.825363671,1553.568,0.2649627729999793,2.4748666286468506,1.0,0.244140625,,12.907016483999996,0.0,1043884.0,2048.0,4743.359457887516,38.0,5,-3.270301356844191e-05,1043884.0,0.14564684169595393,0.84375,-1.6201815605163574,0.0,1043884.0,1043884.0,0.244140625,0.0,116.052734375,,0.244140625,111.546875,5.0,0.00025382396224099546,0.244140625,0.0035305105407270744,-0.0035649961791932583,
0.001,140.66735646000006,0.0,0.0,5.818627450980392,0.013070322024322166,,2048.0,,8.551948051948052,607.0,,2.4748666286468506,0.3984375,,0.0,7.462890625,0.3984375,,1e-06,0.24831801652908325,1.0,1779910015.7984772,1023019.0,4879140.0,,0.0011498405510792509,1023019.0,438.0,35.94927215576172,,215.31210377599996,0.3984375,13.371187767000038,-0.005265307147055864,48.382460476000006,108.78066635131836,1914.271484375,0.11564356810413301,-2.4748666286468506,1914.271484375,0.74609375,0.0020047950092703104,0.047293804392684796,215.31210377599996,,,,1931.006577845,1712.3676470588234,0.2631711199999245,2.4748666286468506,1.0,0.3984375,,12.602611303000003,0.0,1023019.0,2048.0,4751.330659349733,44.0,6,4.6931284604312395e-05,1023019.0,0.1435224485285791,0.625,-2.4748666286468506,0.0,1023019.0,1023019.0,0.3984375,0.0,116.052734375,,0.3984375,83.8125,6.0,0.00025724949389984396,0.3984375,0.005262325717922067,-0.005265307147055864,
0.001,136.20499985399988,0.0,0.0,5.095238095238095,0.012971152527717982,,2048.0,,7.96594427244582,737.0,,2.4748666286468506,0.369140625,,0.0,6.90625,0.369140625,,1e-06,0.29185500741004944,1.0,1779910226.979365,1031642.0,5859247.0,,0.0012071109958924353,1031642.0,323.0,35.96513366699219,,210.89683342500007,0.369140625,13.381585736000034,-0.003928815480321646,48.35752911600002,108.78066635131836,1919.44140625,0.11846974329091609,-2.4748666286468506,1919.44140625,0.7578125,0.001993403770029545,0.04687433151810417,210.89683342500007,,,,2142.042589231,1712.835978835979,0.2505847489999269,2.4748666286468506,1.0,0.369140625,,12.67507671899989,0.0,1031642.0,2040.3343653250774,4891.690326715486,37.0,7,-1.3343436227941652e-05,1031642.0,0.13859521289559734,0.609375,-2.4748666286468506,0.0,1031642.0,1031642.0,0.369140625,0.0,116.052734375,,0.369140625,95.484375,7.0,0.00024289894071773628,0.369140625,0.003983002563472837,-0.003928815480321646,
0.001,136.24402189900024,0.0,0.0,5.340314136125654,0.01301181808397888,,2048.0,,8.947040498442368,600.0,,2.4748666286468506,0.373046875,,0.0,7.6015625,0.373046875,,1e-06,0.2215358018875122,1.0,1779910438.015761,1021158.0,6842001.0,,0.0010248705621052068,1021158.0,325.0,35.96678161621094,,210.75183035500004,0.373046875,13.287122130999705,-0.0038522344548255205,48.318790333999914,108.78066635131836,1899.73046875,0.12406538077630103,-2.4748666286468506,1899.73046875,0.71484375,0.002410566434264183,0.0473176436300748,210.75183035500004,,,,2351.288661447,1661.3507853403141,0.24491025799989075,2.4748666286468506,1.0,0.373046875,,12.625511278999966,0.0,1021158.0,2041.5700934579438,4845.310231849065,42.0,8,0.00010010115067871084,1021158.0,0.14007334706095256,0.703125,-2.4748666286468506,0.0,1021158.0,1021158.0,0.373046875,1.0463753596923198e-06,116.052734375,,0.373046875,94.71875,8.0,0.0002398358118918823,0.373046875,0.003919088401744375,-0.0038522344548255205,
0.001,135.29007637700033,0.0,0.0,4.94,0.01299859404386546,,2048.0,,8.993589743589743,774.0,,2.4748666286468506,0.390625,,0.0,7.41015625,0.390625,,1e-06,0.27012988924980164,1.0,1779910647.261723,1010454.0,7814663.0,,0.0011689664534060284,1010454.0,341.0,35.963043212890625,,208.94558998399998,0.390625,13.13448134600003,-0.008677246980369091,47.76798684200003,108.78066635131836,1879.69921875,0.12204795982688665,-2.4748666286468506,1879.69921875,0.724609375,0.0024593316484242678,0.047273786676088204,208.94558998399998,,,,2544.53660771,1617.15,0.2545933420001347,2.4748666286468506,1.0,0.390625,,12.472773951999898,0.0,1010454.0,2048.0,4835.967105490839,34.0,9,5.711007918307587e-05,1010454.0,0.1405748471819589,0.640625,-2.4748666286468506,0.0,1010454.0,1010454.0,0.390625,1.0111305073223775e-06,116.052734375,,0.390625,93.84375,9.0,0.00025195935886258527,0.390625,0.008799275412457064,-0.008677246980369091,
